Accession No.,Title,Subtitle,Author 1,Author 2,Author 3,Edition,Publisher,Place,Year,Subject,Class No. ,Location,Availability Message
1562,डॉ विलिंयम हालसेट,,पाध्ये यशवंत,,,,सौरभ प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1562) counter-var sanga.
1563,मी ती प्रीती,,काळे श्रीनिवास,,,,हिमगिरी प्रकाशन,,1986,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1563) counter-var sanga.
1564,दलिताच्या दरी,,मनुरकर ग पी,,,,शब्दशिल्प प्रकाशन,उमरी,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1564) counter-var sanga.
1565,मुक्त कैदी,,गुरव पी बी,,,,परिमल प्रकाशन,औरंगाबाद,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1565) counter-var sanga.
1566,अकल्पित,,पाटील देवदत्त,,,,युनिटी प्रकाशन,पुणे,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1566) counter-var sanga.
1567,माधवी,,वैद्य प्र ना,,,,कल्पना,,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1567) counter-var sanga.
1568,मला आई व्ह्याचाय,,सोनार रमेश,,,,योगिता प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1568) counter-var sanga.
1569,सौदा,,रांजणकर यशवंत,,,,एस के प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1569) counter-var sanga.
1570,नायिका,,ओंक जनार्धन,,,,युनिटी प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1570) counter-var sanga.
1571,अंत्ययात्रा,,काकडे द स,,,,एस के प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1571) counter-var sanga.
1572,ध्यानीमनी,,वैद्य सुरेश,,,,युनायटेड,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1572) counter-var sanga.
1573,अनिवासी,,वैद्य सुरेश,,,,एस के प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1573) counter-var sanga.
1574,अस्वस्थ तिघी,,परांजपे कविता,,,,एस के प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1574) counter-var sanga.
1575,उद्वस्थ,,बागुल चारुदत्त,,,,राजेंद्र प्रकाशन,पुणे,1987,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1575) counter-var sanga.
1576,बौध शिल्प लेणी,,बोराडे बाबा,,,,प्रचार प्रकाशन,कोल्हापूर,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1576) counter-var sanga.
1577,असून नसून,,मेश्राम राहुल,,,,विशाखा प्रकाशन,पुणे,1993,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1577) counter-var sanga.
1578,स्थगती,,परचुरे श्री दि,,,,मुक्ता प्रकाशन,पेन,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1578) counter-var sanga.
1579,अध्याय,,वैद्य सुरेश,,,,कलावती प्रकाशन,डोंबिवली,1993,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1579) counter-var sanga.
1580,आटपाटनगर,,पाटोळे शशिकांत,,,,कल्पना,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1580) counter-var sanga.
1581,डायरी,,माणगावे नीलम,,,,मनोदय प्रकाशन,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1581) counter-var sanga.
1582,उद्वस्थ,,बागुल चारुदत्त,,,,राजेंद्र प्रकाशन,पुणे,1987,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1582) counter-var sanga.
1583,सुप्त ज्वाला,,रांगणेकर कुमोदिनी,,,,राजेंद्र प्रकाशन,पुणे,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1583) counter-var sanga.
1584,मला जगाचय,,काकोडकर चंद्रकांत,,,,मेडल प्रकाशन,मुंबई,1971,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1584) counter-var sanga.
1585,अतृप्त आत्मा,,महाजन भास्कर,,,,फेमस,नागपूर,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1585) counter-var sanga.
1586,चंदेरी चित्रहार,,जाधव रा ग,,,,सुगंधा प्रकाशन,पुणे,1987,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1586) counter-var sanga.
1587,माझा लेखसंग्रह,,नायक वामनराव,,,,परिमल प्रकाशन,औरंगाबाद,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1587) counter-var sanga.
1588,परिचय संशोधकाचा,,चौधरी सुधीर अण्णाजी,,,,सूर्य अक्षर विविधा,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1588) counter-var sanga.
1589,गिराण,,सोपान,,,,उमा प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1589) counter-var sanga.
1590,समातर रेषा,,नांदेडकर वासंती,,,,नवभारत प्रकाशन,मुंबई,1989,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1590) counter-var sanga.
1591,द इस्कॅप,,ओंक जनार्धन,,,,युनायटेड,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1591) counter-var sanga.
1592,ग्रंथ वैभव,,सारडा शंकर,,,,पुष्प प्रकाशन,पुणे,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1592) counter-var sanga.
1593,कुंभ मेळा,,कांबळे उत्तम,,,,सुगावा प्रकाशन,पुणे,1991,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1593) counter-var sanga.
1594,आवर्त,,मेणजोगे सीताराम,,,,एस के प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1594) counter-var sanga.
1595,कथाच्या पायवाटा,,पाडळकर विजय,,,,संगत प्रकाशन,नांदेड,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1595) counter-var sanga.
1596,द सिग्मुंड फ्राएड,,चौबळ ज स,,,,प्रचार प्रकाशन,कोल्हापूर,1983,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1596) counter-var sanga.
1597,समान चित्रे,,केळ्कर गिरिजाबाई,,,,खानदेश,धुळे,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1597) counter-var sanga.
1598,इत्यर्थ,,शहाजींदे फ म,,,,दिलीपराज प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1598) counter-var sanga.
1599,एकमुखी श्रीदत्त,,कुन्देन ह ना,,,,अमेय प्रकाशन,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1599) counter-var sanga.
1600,अ स्पेसल इंडिया,,हॉलिडे जेम्स,,,,मनोहर ग्रंथमाला,पुणे,1977,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1600) counter-var sanga.
1601,स्वप्नातील कविता,,शुक्ल नंदकिशोर,,,,विशाखा प्रकाशन,पुणे,1979,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1601) counter-var sanga.
1602,विचारवंत आणि समाज,,कुंभार नागोराव,,,,प्रबोधन प्रकाशन,लातूर,1979,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1602) counter-var sanga.
1603,डॉ विलिंयम हालसेट,,पाध्ये यशवंत,,,,सौरभ प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1603) counter-var sanga.
1604,गोफ,,कुमार वसंत,,,,वसुधा प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1604) counter-var sanga.
1605,सुवर्णरेषा,,नगरकर मधुसूदन,,,,प्रचार प्रकाशन,कोल्हापूर,1993,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1605) counter-var sanga.
1606,लाख मोलाची करवंदे,,प्रभू सुधाकर,,,,गोकुळ प्रकाशन,पुणे,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1606) counter-var sanga.
1607,जन्म सावित्री,,कुलकर्णी प्रभावती,,,,राजेंद्र प्रकाशन,पुणे,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1607) counter-var sanga.
1608,लोक जागरनाची दिशा,,शिंदे सुरेश पा,,,,परिमल प्रकाशन,औरंगाबाद,1967,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1608) counter-var sanga.
1609,रेसचा घोडा,,पुनर्वसू अनिरुद्ध,,,,मेहता,पुणे,1989,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1609) counter-var sanga.
1610,दलिताच्या दरी,,मनुरकर ग पी,,,,शब्दशिल्प प्रकाशन,उमरी,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1610) counter-var sanga.
1611,डॉ लागू,,अत्रे प्र के,,,,परचुरे प्रकाशन,मुंबई,1989,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1611) counter-var sanga.
1612,साव्होचे नर भक्षक,,दातार मनोहर,,,,तोरणा प्रकाशन,पुणे,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1612) counter-var sanga.
1613,अकल्पित,,विद्यासागर प्रभाकर,,,,प्रपुनील,पुणे,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1613) counter-var sanga.
1614,भाग्यविधाता अणु,,थत्ते यदुनाथ,,,,पुणे साहित्य वितरण,पुणे,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1614) counter-var sanga.
1615,शिक्षण आणि संस्कृती,,भोळे भा ल,,,,स्वरूप प्रकाशन,नागपूर,1979,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1615) counter-var sanga.
1616,कवी आनंद,,धीसास बा ग,,,,सुशीलाबाई,,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1616) counter-var sanga.
1617,चुपके चुपके,,शेजवलकर र भ,,,,राजेंद्र प्रकाशन,पुणे,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1617) counter-var sanga.
1618,कथा आजकालच्या,,ठाकूर ना तू,,,,परमौंत,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1618) counter-var sanga.
1619,उखाण्यातून स्त्री दर्शन,,माणगावे नीलम,,,,मनोदय प्रकाशन,पुणे,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1619) counter-var sanga.
1620,बाई बाटली आणि मी,,बल्लाळ नरेंद्र,,,,परमौंत,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1620) counter-var sanga.
1621,जन्मठेप,,काकडे द स,,,,राज प्रकाशन,पुणे,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1621) counter-var sanga.
1622,ऑपरेशन एअर क्रश,,देसाई कल्पना,,,,मेहता,पुणे,1989,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1622) counter-var sanga.
1623,सुटकेचा निश्वास,,हांडे आनंद,,,,मनोकामना प्रकाशन,इस्मालपूर,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1623) counter-var sanga.
1624,हुल्ल हुप्प,,विद्यासागर प्रभाकर,,,,अनुश्री प्रकाशन,पुणे,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1624) counter-var sanga.
1625,कथा कंमडलु,,कोल्हाटकर भ वि,,,,मधुश्री प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1625) counter-var sanga.
1626,चीनया मीनया,,माने शरयू,,,,राजश्री प्रकाशन,पुणे,1993,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1626) counter-var sanga.
1627,बहर,,औरंगाबादकर अनुराधा,,,,प्रचार प्रकाशन,कोल्हापूर,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1627) counter-var sanga.
1628,देणे,,हौजवाला पु घ,,,,शंकर,औरंगाबाद,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1628) counter-var sanga.
1629,सिद्धार्थ गौतम,,कांबळी,,,,सुगावा प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1629) counter-var sanga.
1630,ग्रीष्म दाह,,जोग वि स,,,,लाखे प्रकाशन,नागपूर,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1630) counter-var sanga.
1631,माझा लेखसंग्रह,,नाईक वामनराव,,,,परिमल प्रकाशन,औरंगाबाद,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1631) counter-var sanga.
1632,वळणावर,,भाजेकर आशा,,,,संवाद प्रकाशन,मुंबई,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1632) counter-var sanga.
1633,दलाली,,पवार श्रीनिवास,,,,कल्पना,पुणे,1984,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1633) counter-var sanga.
1634,चैत्र पालवी,,जोशी शैलजा,,,,उन्मेष प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1634) counter-var sanga.
1635,त्याच नाव बाबुराव,,गवळी उत्तम,,,,परिमल प्रकाशन,औरंगाबाद,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1635) counter-var sanga.
1636,सृष्टी दृष्टी आडची,,माटे म श्री,,,,प्रसाद प्रकाशन,पुणे,1984,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1636) counter-var sanga.
1637,सैतानी खेळ,,गजभिये अशोक,,,,सुयोग प्रकाशन,कल्याण,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1637) counter-var sanga.
1638,श्रावण होई उदास,,भालचंद्र साने,,,,मेहता,पुणे,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1638) counter-var sanga.
1639,चौकोनी मानस,,नेलेकर र अ,,,,पुष्प प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1639) counter-var sanga.
1640,वहिनीसाहेब,,माने राजेंद्र,,,,दिपरेखा प्रकाशन,डोंबिवली,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1640) counter-var sanga.
1641,साद,,कुलकर्णी मंगला,,,,शकून प्रकाशन,पुणे,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1641) counter-var sanga.
1642,गमतीदार प्रश्नोत्तरी,,लोणकर रघुनाथ,,,,पुष्पांजली प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1642) counter-var sanga.
1643,स्वगत,,पाटणकर बालमुकुंद,,,,प्रचार प्रकाशन,कोल्हापूर,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1643) counter-var sanga.
1644,सुटकेचा निश्वास,,हांडे आनंद,,,,मनोकामना प्रकाशन,इस्लामपूर,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1644) counter-var sanga.
1645,कवडसे,,वैद्य गो ई,,,,भारतीय ग्रंथ भवन,मुंबई,1967,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1645) counter-var sanga.
1646,माधवी,,वैद्य प्र ना,,,,कल्पना,,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1646) counter-var sanga.
1647,दुर्दैवि गंगू,,वैद्य ची वि,,,,एस के प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1647) counter-var sanga.
1648,बापाच पाप,,अल्हाट र स,,,,कल्पना,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1648) counter-var sanga.
1649,अकल्पित,,विद्यासागर प्रभाकर,,,,प्रपुनील प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1649) counter-var sanga.
1650,महाराज आले रे आले,,गांजवे हरिदास,,,,मनोकामना प्रकाशन,इस्लामपूर,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1650) counter-var sanga.
1651,दीप ज्योती,,आवळे माणिक,,,,मनोकामना प्रकाशन,इस्लामपूर,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1651) counter-var sanga.
1652,आधुनिक मराठी कविता,,कोत्तापल्ले नागनाथ,,,,प्रतिभा प्रकाशन,परभणी,1999,Marathi Poetry,891.463,Marathi Poetry,Krupaya upalabdhtesathi Accession No. (1652) counter-var sanga.
1653,कुंपण,,हौजवाला पु घ,,,,साकार प्रकाशन,औरंगाबाद,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1653) counter-var sanga.
1654,डॉ बाबासाहेब अम्बेडकराची गाजलेली भाषण,,,,,,सुधीर प्रक्षण,बोरगाव,1995,Marathi Essays,891.464,Marathi Essays,Krupaya upalabdhtesathi Accession No. (1654) counter-var sanga.
1655,महाराज आले रे आले,,गांजवे हरिदास,,,,मनोकामना प्रकाशन,इस्लामपूर,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1655) counter-var sanga.
1656,इंद्रधनुष्य,,आढाव शरद,,,,गणेश प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1656) counter-var sanga.
1657,अभिनेत्री,,पाटील शालिनी,,,,शांता प्रकाशन,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1657) counter-var sanga.
1658,गुंता,,जाईल ना ज,,,,विशाखा प्रकाशन,पुणे,1991,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1658) counter-var sanga.
1659,लक्ष्मन रेषा,,दिवाण वृंदा,,,,उमा प्रकाशन,पुणे,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1659) counter-var sanga.
1660,प्रेमाचा फालुदा,,राजवाडे रजा,,,,युनायटेड,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1660) counter-var sanga.
1661,तू जिंकलीस मी हरले,,मराठे सुधा,,,,गौरी प्रकाशन,पुणे,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1661) counter-var sanga.
1662,गगनी उगवला सायतारा,,फडके ना सी,,,,चंद्रमौळी प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1662) counter-var sanga.
1663,प्रतिज्ञा,,बेंडखळे अशोक,,,,चंद्रमौळी प्रकाशन,पुणे,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1663) counter-var sanga.
1664,सी डी देशमुख,,कुलकर्णी दिगंबर,,,,पुरोषत्तम प्रकाशन,मुंबई,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1664) counter-var sanga.
1665,विदुषक,,भोसले संगम,,,,रेणुका प्रकाशन,औरंगाबाद,1996,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1665) counter-var sanga.
1666,संग्मायान,,गांजवे हरिदास,,,,यशोदा प्रकाशन,रत्नागिरी,1997,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1666) counter-var sanga.
1667,महाराज आले रे आले,,पाध्ये यशवंत,,,,मनोकामना प्रकाशन,इस्लामपूर,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1667) counter-var sanga.
1668,अभिनय सम्राट,,गोवईकर पद्माकर,,,,परिमल प्रकाशन,औरंगाबाद,1998,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1668) counter-var sanga.
1669,चुपके चुपके,,शेजवलकर रा म,,,,राजेंद्र प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1669) counter-var sanga.
1670,अभिनय सम्राट,,गोवईकर पद्माकर,,,,परिमल प्रकाशन,औरंगाबाद,1981,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1670) counter-var sanga.
1671,कुणी कुणाचे नाही,,जोगळेकर योगिनी,,,,राजेंद्र प्रकाशन,पुणे,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1671) counter-var sanga.
1672,कुणी कुणाचे नाही,,जोगळेकर योगिनी,,,,राजेंद्र प्रकाशन,पुणे,1992,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1672) counter-var sanga.
1673,अग्नी दिव्य,,ओंक जनार्धन,,,,दीपरेखा प्रकाशन,डोंबिवली,1986,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1673) counter-var sanga.
1674,अग्नी दिव्य,,ओंक जनार्धन,,,,दीपरेखा प्रकाशन,डोंबिवली,1986,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1674) counter-var sanga.
1675,तू कोमातच राहा,,दिघे शरद,,,,दीपरेखा प्रकाशन,डोंबिवली,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1675) counter-var sanga.
1676,तू कोमातच राहा,,दिघे शरद,,,,दीपरेखा प्रकाशन,डोंबिवली,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1676) counter-var sanga.
1677,स्वप्नाझुला,,भिडे चारुसुधा,,,,कल्पना,,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1677) counter-var sanga.
1678,स्वप्नाझुला,,भिडे चारुसुधा,,,,कल्पना,,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1678) counter-var sanga.
1679,शिनासू,,रानडे जयंत,,,,लीला दत्त प्रकाशन,मुंबई,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1679) counter-var sanga.
1680,शिनासू,,रानडे जयंत,,,,लीला दत्त प्रकाशन,मुंबई,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1680) counter-var sanga.
1681,त्रयस्थ,,जोखर राम,,,,निरंजन प्रकाशन,पुणे,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1681) counter-var sanga.
1682,त्रयस्थ,,जोखर राम,,,,निरंजन प्रकाशन,पुणे,1994,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1682) counter-var sanga.
1683,वारणाकाठच्या कथा,,पाटील संपत,,,,स्वामी प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1683) counter-var sanga.
1684,वारणाकाठच्या कथा,,पाटील संपत,,,,स्वामी प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1684) counter-var sanga.
1685,बाई बाटली आणि मी,,बल्लाळ नरेंद्र,,,,प्यारे मोहन प्रकाशन,पुणे,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1685) counter-var sanga.
1686,बाई बाटली आणि मी,,बल्लाळ नरेंद्र,,,,प्यारे मोहन प्रकाशन,पुणे,1995,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1686) counter-var sanga.
1687,प्राचीन अर्वाचीन महिला,,सावरकर,,,,सावरकर,मुंबई,1975,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1687) counter-var sanga.
1688,आणि कार्डीओंग्राफ स्तब्द झाला,,बरिंदे प्राची,,,,पार्टनर प्रकाशन,मुंबई,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1688) counter-var sanga.
1689,कुतूहल,,मराठे सुलोचना,,,,प्रियांजली प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1689) counter-var sanga.
1690,चुपके चुपके,,शेजवलकर रा म,,,,राजेंद्र प्रकाशन,पुणे,1985,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1690) counter-var sanga.
1691,संभ्रम,,मेणजोगे सीताराम,,,,राज प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1691) counter-var sanga.
1692,संभ्रम,,मेणजोगे सीताराम,,,,राज प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1692) counter-var sanga.
1693,संभ्रम,,मेणजोगे सीताराम,,,,राज प्रकाशन,पुणे,1999,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1693) counter-var sanga.
1694,जन्म सावित्री,,कुलकर्णी प्रभावती,,,,राज प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1694) counter-var sanga.
1695,जन्म सावित्री,,कुलकर्णी प्रभावती,,,,राज प्रकाशन,पुणे,1990,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (1695) counter-var sanga.
